parameter,type,variable,risk_level,min_value,max_value
temp_max_low,vector,temp_max,low,13.6,23.5
temp_max_moderate,vector,temp_max,moderate,16.840000000000003,29.1
temp_max_high,vector,temp_max,high,18.175,33.41
temp_max_extreme,vector,temp_max,extreme,15.580000000000002,36.6
temp_min_low,vector,temp_min,low,4.9,13.7
temp_min_moderate,vector,temp_min,moderate,6.510000000000001,17.4
temp_min_high,vector,temp_min,high,7.960000000000001,17.4
temp_min_extreme,vector,temp_min,extreme,6.260000000000002,21.1
precip_low,vector,precip,low,0.0,110.23599999999999
precip_moderate,vector,precip,moderate,0.0,110.48999999999998
precip_high,vector,precip,high,0.0,149.1233999999996
precip_extreme,vector,precip,extreme,0.0,239.26799999999997
temp_max_low,host,temp_max,low,13.6,34.92
temp_max_moderate,host,temp_max,moderate,16.840000000000003,34.565
temp_max_high,host,temp_max,high,13.9,34.53
temp_max_extreme,host,temp_max,extreme,13.66,36.6
temp_min_low,host,temp_min,low,4.9,17.4
temp_min_moderate,host,temp_min,moderate,6.510000000000001,17.4
temp_min_high,host,temp_min,high,4.9,17.4
temp_min_extreme,host,temp_min,extreme,4.9,21.1
precip_low,host,precip,low,0.0,66.03999999999999
precip_moderate,host,precip,moderate,0.0,110.23599999999999
precip_high,host,precip,high,0.0,110.23599999999999
precip_extreme,host,precip,extreme,0.0,239.26799999999997
optimal_max_temp,both,max_temp,optimal,23.5,36.6
optimal_min_temp,both,min_temp,optimal,13.6,21.1
optimal_precip,both,precip,optimal,1.016,220.47199999999998
